doc_id,text,cleaned_text,tokens,token_count,label
11,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,teliasonera tlsn said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen eesti telekom s offering to its customers,"['teliasonera', 'tlsn', 'said', 'the', 'offer', 'is', 'in', 'line', 'with', 'its', 'strategy', 'to', 'increase', 'its', 'ownership', 'in', 'core', 'business', 'holdings', 'and', 'would', 'strengthen', 'eesti', 'telekom', 's', 'offering', 'to', 'its', 'customers']",29,positive
12,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",stora enso norske skog m real upm kymmene credit suisse first boston cfsb raised the fair value for shares in four of the largest nordic forestry groups,"['stora', 'enso', 'norske', 'skog', 'm', 'real', 'upm', 'kymmene', 'credit', 'suisse', 'first', 'boston', 'cfsb', 'raised', 'the', 'fair', 'value', 'for', 'shares', 'in', 'four', 'of', 'the', 'largest', 'nordic', 'forestry', 'groups']",27,positive
13,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",a purchase agreement for 7 200 tons of gasoline with delivery at the hamina terminal finland was signed with neste oil oyj at the average platts index for this september plus eight us dollars per month,"['a', 'purchase', 'agreement', 'for', '7', '200', 'tons', 'of', 'gasoline', 'with', 'delivery', 'at', 'the', 'hamina', 'terminal', 'finland', 'was', 'signed', 'with', 'neste', 'oil', 'oyj', 'at', 'the', 'average', 'platts', 'index', 'for', 'this', 'september', 'plus', 'eight', 'us', 'dollars', 'per', 'month']",36,positive
14,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",finnish talentum reports its operating profit increased to eur 20 5 mn in 2005 from eur 9 3 mn in 2004 and net sales totaled eur 103 3 mn up from eur 96 4 mn,"['finnish', 'talentum', 'reports', 'its', 'operating', 'profit', 'increased', 'to', 'eur', '20', '5', 'mn', 'in', '2005', 'from', 'eur', '9', '3', 'mn', 'in', '2004', 'and', 'net', 'sales', 'totaled', 'eur', '103', '3', 'mn', 'up', 'from', 'eur', '96', '4', 'mn']",35,positive
15,"Clothing retail chain Sepp+ï¿½l+ï¿½ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",clothing retail chain sepp ï¿½l ï¿½ s sales increased by 8 to eur 155 2 mn and operating profit rose to eur 31 1 mn from eur 17 1 mn in 2004,"['clothing', 'retail', 'chain', 'sepp', 'ï¿½l', 'ï¿½', 's', 'sales', 'increased', 'by', '8', 'to', 'eur', '155', '2', 'mn', 'and', 'operating', 'profit', 'rose', 'to', 'eur', '31', '1', 'mn', 'from', 'eur', '17', '1', 'mn', 'in', '2004']",32,positive
16,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",consolidated net sales increased 16 to reach eur74 8 m while operating profit amounted to eur0 9 m compared to a loss of eur0 7 m in the prior year period,"['consolidated', 'net', 'sales', 'increased', '16', 'to', 'reach', 'eur74', '8', 'm', 'while', 'operating', 'profit', 'amounted', 'to', 'eur0', '9', 'm', 'compared', 'to', 'a', 'loss', 'of', 'eur0', '7', 'm', 'in', 'the', 'prior', 'year', 'period']",31,positive
17,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",foundries division reports its sales increased by 9 7 to eur 63 1 mn from eur 57 5 mn in the corresponding period in 2006 and sales of the machine shop division increased by 16 4 to eur 41 2 mn from eur 35 4 mn in the corresponding period in 2006,"['foundries', 'division', 'reports', 'its', 'sales', 'increased', 'by', '9', '7', 'to', 'eur', '63', '1', 'mn', 'from', 'eur', '57', '5', 'mn', 'in', 'the', 'corresponding', 'period', 'in', '2006', 'and', 'sales', 'of', 'the', 'machine', 'shop', 'division', 'increased', 'by', '16', '4', 'to', 'eur', '41', '2', 'mn', 'from', 'eur', '35', '4', 'mn', 'in', 'the', 'corresponding', 'period', 'in', '2006']",52,positive
18,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",helsinki afx shares closed higher led by nokia after it announced plans to team up with sanyo to manufacture 3g handsets and by nokian tyres after its fourth quarter earnings report beat analysts expectations dealers said,"['helsinki', 'afx', 'shares', 'closed', 'higher', 'led', 'by', 'nokia', 'after', 'it', 'announced', 'plans', 'to', 'team', 'up', 'with', 'sanyo', 'to', 'manufacture', '3g', 'handsets', 'and', 'by', 'nokian', 'tyres', 'after', 'its', 'fourth', 'quarter', 'earnings', 'report', 'beat', 'analysts', 'expectations', 'dealers', 'said']",36,positive
19,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",incap contract manufacturing services pvt ltd a subsidiary of incap corporation of finland plans to double its revenues by 2007 2008,"['incap', 'contract', 'manufacturing', 'services', 'pvt', 'ltd', 'a', 'subsidiary', 'of', 'incap', 'corporation', 'of', 'finland', 'plans', 'to', 'double', 'its', 'revenues', 'by', '2007', '2008']",21,positive
20,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",its board of directors will propose a dividend of eur0 12 per share for 2010 up from the eur0 08 per share paid in 2009,"['its', 'board', 'of', 'directors', 'will', 'propose', 'a', 'dividend', 'of', 'eur0', '12', 'per', 'share', 'for', '2010', 'up', 'from', 'the', 'eur0', '08', 'per', 'share', 'paid', 'in', '2009']",25,positive
21,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",lifetree was founded in 2000 and its revenues have risen on an average by 40 with margins in late 30s,"['lifetree', 'was', 'founded', 'in', '2000', 'and', 'its', 'revenues', 'have', 'risen', 'on', 'an', 'average', 'by', '40', 'with', 'margins', 'in', 'late', '30s']",20,positive
22,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",filippova a trilateral agreement on investment in the construction of a technology park in st petersburg was to have been signed in the course of the forum days of the russian economy that opened in helsinki today,"['filippova', 'a', 'trilateral', 'agreement', 'on', 'investment', 'in', 'the', 'construction', 'of', 'a', 'technology', 'park', 'in', 'st', 'petersburg', 'was', 'to', 'have', 'been', 'signed', 'in', 'the', 'course', 'of', 'the', 'forum', 'days', 'of', 'the', 'russian', 'economy', 'that', 'opened', 'in', 'helsinki', 'today']",37,positive
23,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",megafon s subscriber base increased 16 1 in 2009 to 50 5 million users as of december 31 while its market share by the number of customers amounted to 24 as of late 2009 up from 23 as of late 2008 according to teliasonera estimates,"['megafon', 's', 'subscriber', 'base', 'increased', '16', '1', 'in', '2009', 'to', '50', '5', 'million', 'users', 'as', 'of', 'december', '31', 'while', 'its', 'market', 'share', 'by', 'the', 'number', 'of', 'customers', 'amounted', 'to', '24', 'as', 'of', 'late', '2009', 'up', 'from', '23', 'as', 'of', 'late', '2008', 'according', 'to', 'teliasonera', 'estimates']",45,positive
24,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",net income from life insurance doubled to eur 6 8 mn from eur 3 2 mn and net income from non life insurance rose to eur 5 2 mn from eur 1 5 mn in the corresponding period in 2009,"['net', 'income', 'from', 'life', 'insurance', 'doubled', 'to', 'eur', '6', '8', 'mn', 'from', 'eur', '3', '2', 'mn', 'and', 'net', 'income', 'from', 'non', 'life', 'insurance', 'rose', 'to', 'eur', '5', '2', 'mn', 'from', 'eur', '1', '5', 'mn', 'in', 'the', 'corresponding', 'period', 'in', '2009']",40,positive
25,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),net sales increased to eur193 3 m from eur179 9 m and pretax profit rose by 34 2 to eur43 1 m eur1 usd1 4,"['net', 'sales', 'increased', 'to', 'eur193', '3', 'm', 'from', 'eur179', '9', 'm', 'and', 'pretax', 'profit', 'rose', 'by', '34', '2', 'to', 'eur43', '1', 'm', 'eur1', 'usd1', '4']",25,positive
26,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",net sales surged by 18 5 to eur167 8 m teleste said that eur20 4 m or 12 2 of the sales came from the acquisitions made in 2009,"['net', 'sales', 'surged', 'by', '18', '5', 'to', 'eur167', '8', 'm', 'teleste', 'said', 'that', 'eur20', '4', 'm', 'or', '12', '2', 'of', 'the', 'sales', 'came', 'from', 'the', 'acquisitions', 'made', 'in', '2009']",29,positive
27,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,nordea group s operating profit increased in 2010 by 18 percent year on year to 3 64 billion euros and total revenue by 3 percent to 9 33 billion euros,"['nordea', 'group', 's', 'operating', 'profit', 'increased', 'in', '2010', 'by', '18', 'percent', 'year', 'on', 'year', 'to', '3', '64', 'billion', 'euros', 'and', 'total', 'revenue', 'by', '3', 'percent', 'to', '9', '33', 'billion', 'euros']",30,positive
28,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",operating profit for the nine month period increased from eur13 6 m while net sales increased from eur394 7 m as compared to the corresponding period in 2005,"['operating', 'profit', 'for', 'the', 'nine', 'month', 'period', 'increased', 'from', 'eur13', '6', 'm', 'while', 'net', 'sales', 'increased', 'from', 'eur394', '7', 'm', 'as', 'compared', 'to', 'the', 'corresponding', 'period', 'in', '2005']",28,positive
29,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",operating profit for the nine month period increased from eur3 1 m and net sales increased from eur61 5 m as compared to the corresponding period in 2007,"['operating', 'profit', 'for', 'the', 'nine', 'month', 'period', 'increased', 'from', 'eur3', '1', 'm', 'and', 'net', 'sales', 'increased', 'from', 'eur61', '5', 'm', 'as', 'compared', 'to', 'the', 'corresponding', 'period', 'in', '2007']",28,positive
30,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",operating profit for the three month period increased from eur1 2 m while revenue increased from eur20 2 m as compared to the corresponding period in 2005,"['operating', 'profit', 'for', 'the', 'three', 'month', 'period', 'increased', 'from', 'eur1', '2', 'm', 'while', 'revenue', 'increased', 'from', 'eur20', '2', 'm', 'as', 'compared', 'to', 'the', 'corresponding', 'period', 'in', '2005']",27,positive
31,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .",the brazilian unit of finnish security solutions provider f secure signed up 1 500 new clients last year online news source reseller web quoted the division s commercial director vladimir brand o as saying,"['the', 'brazilian', 'unit', 'of', 'finnish', 'security', 'solutions', 'provider', 'f', 'secure', 'signed', 'up', '1', '500', 'new', 'clients', 'last', 'year', 'online', 'news', 'source', 'reseller', 'web', 'quoted', 'the', 'division', 's', 'commercial', 'director', 'vladimir', 'brand', 'o', 'as', 'saying']",34,positive
32,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",the company s net profit rose 11 4 on the year to 82 2 million euros in 2005 on sales of 686 5 million euros 13 8 up on the year the company said earlier,"['the', 'company', 's', 'net', 'profit', 'rose', '11', '4', 'on', 'the', 'year', 'to', '82', '2', 'million', 'euros', 'in', '2005', 'on', 'sales', 'of', '686', '5', 'million', 'euros', '13', '8', 'up', 'on', 'the', 'year', 'the', 'company', 'said', 'earlier']",35,positive
33,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",the lithuanian beer market made up 14 41 million liters in january a rise of 0 8 percent from the year earlier figure the lithuanian brewers association reporting citing the results from its members,"['the', 'lithuanian', 'beer', 'market', 'made', 'up', '14', '41', 'million', 'liters', 'in', 'january', 'a', 'rise', 'of', '0', '8', 'percent', 'from', 'the', 'year', 'earlier', 'figure', 'the', 'lithuanian', 'brewers', 'association', 'reporting', 'citing', 'the', 'results', 'from', 'its', 'members']",34,positive
34,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",viking line s cargo revenue increased by 5 4 to eur 21 46 mn and cargo volume increased by 2 4 to 70 116 cargo units,"['viking', 'line', 's', 'cargo', 'revenue', 'increased', 'by', '5', '4', 'to', 'eur', '21', '46', 'mn', 'and', 'cargo', 'volume', 'increased', 'by', '2', '4', 'to', '70', '116', 'cargo', 'units']",26,positive
35,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",the fair value of the property portfolio doubled as a result of the kapiteeli acquisition and totalled eur 2 686 2 1 259 7 million,"['the', 'fair', 'value', 'of', 'the', 'property', 'portfolio', 'doubled', 'as', 'a', 'result', 'of', 'the', 'kapiteeli', 'acquisition', 'and', 'totalled', 'eur', '2', '686', '2', '1', '259', '7', 'million']",25,positive
36,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,10 february 2011 finnish media company sanoma oyj hel saa1v said yesterday its 2010 net profit almost tripled to eur297 3 m from eur107 1 m for 2009 and announced a proposal for a raised payout,"['10', 'february', '2011', 'finnish', 'media', 'company', 'sanoma', 'oyj', 'hel', 'saa1v', 'said', 'yesterday', 'its', '2010', 'net', 'profit', 'almost', 'tripled', 'to', 'eur297', '3', 'm', 'from', 'eur107', '1', 'm', 'for', '2009', 'and', 'announced', 'a', 'proposal', 'for', 'a', 'raised', 'payout']",36,positive
37,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",a helsinki eliiv today reported eps of eur1 13 for 2009 an increase over eps of eur1 12 in 2008,"['a', 'helsinki', 'eliiv', 'today', 'reported', 'eps', 'of', 'eur1', '13', 'for', '2009', 'an', 'increase', 'over', 'eps', 'of', 'eur1', '12', 'in', '2008']",20,positive
38,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",aspo plc stock exchange release february 11 2011 at8 45 a m esl shipping ltd part of aspo group has signed a new long term contract with rautaruukki corporation for the marine transport of raw materials on the baltic sea,"['aspo', 'plc', 'stock', 'exchange', 'release', 'february', '11', '2011', 'at8', '45', 'a', 'm', 'esl', 'shipping', 'ltd', 'part', 'of', 'aspo', 'group', 'has', 'signed', 'a', 'new', 'long', 'term', 'contract', 'with', 'rautaruukki', 'corporation', 'for', 'the', 'marine', 'transport', 'of', 'raw', 'materials', 'on', 'the', 'baltic', 'sea']",40,positive
39,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",commission income increased by 22 to eur 4 4 mn and lending volume rose by 13 5,"['commission', 'income', 'increased', 'by', '22', 'to', 'eur', '4', '4', 'mn', 'and', 'lending', 'volume', 'rose', 'by', '13', '5']",17,positive
40,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",in january traffic measured in revenue passenger kilometres rpk went up by 3 2 and capacity measured in available seat kilometres ask rose by 12 2,"['in', 'january', 'traffic', 'measured', 'in', 'revenue', 'passenger', 'kilometres', 'rpk', 'went', 'up', 'by', '3', '2', 'and', 'capacity', 'measured', 'in', 'available', 'seat', 'kilometres', 'ask', 'rose', 'by', '12', '2']",26,positive
41,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",in january september 2010 fiskars net profit went up by 14 year on year to eur 65 4 million and net sales to eur 525 3 million from eur 487 7 million,"['in', 'january', 'september', '2010', 'fiskars', 'net', 'profit', 'went', 'up', 'by', '14', 'year', 'on', 'year', 'to', 'eur', '65', '4', 'million', 'and', 'net', 'sales', 'to', 'eur', '525', '3', 'million', 'from', 'eur', '487', '7', 'million']",32,positive
42,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",net income from life insurance rose to eur 16 5 mn from eur 14 0 mn and net income from non life insurance to eur 22 6 mn from eur 15 2 mn in 2009,"['net', 'income', 'from', 'life', 'insurance', 'rose', 'to', 'eur', '16', '5', 'mn', 'from', 'eur', '14', '0', 'mn', 'and', 'net', 'income', 'from', 'non', 'life', 'insurance', 'to', 'eur', '22', '6', 'mn', 'from', 'eur', '15', '2', 'mn', 'in', '2009']",35,positive
43,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",nyrstar has also agreed to supply to talvivaara up to 150 000 tonnes of sulphuric acid per annum for use in talvivaara s leaching process during the period of supply of the zinc in concentrate,"['nyrstar', 'has', 'also', 'agreed', 'to', 'supply', 'to', 'talvivaara', 'up', 'to', '150', '000', 'tonnes', 'of', 'sulphuric', 'acid', 'per', 'annum', 'for', 'use', 'in', 'talvivaara', 's', 'leaching', 'process', 'during', 'the', 'period', 'of', 'supply', 'of', 'the', 'zinc', 'in', 'concentrate']",35,positive
44,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",sales for both the department store division and hobby hall increased by 7 while sales for the clothing store subsidiary seppala decreased by 4,"['sales', 'for', 'both', 'the', 'department', 'store', 'division', 'and', 'hobby', 'hall', 'increased', 'by', '7', 'while', 'sales', 'for', 'the', 'clothing', 'store', 'subsidiary', 'seppala', 'decreased', 'by', '4']",24,positive
45,Sales have risen in other export markets .,sales have risen in other export markets,"['sales', 'have', 'risen', 'in', 'other', 'export', 'markets']",7,positive
46,Sales increased due to growing market rates and increased operations .,sales increased due to growing market rates and increased operations,"['sales', 'increased', 'due', 'to', 'growing', 'market', 'rates', 'and', 'increased', 'operations']",10,positive
47,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,the agreement strengthens our long term partnership with nokia siemens networks,"['the', 'agreement', 'strengthens', 'our', 'long', 'term', 'partnership', 'with', 'nokia', 'siemens', 'networks']",11,positive
48,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",the agreement was signed with biohit healthcare ltd the uk based subsidiary of biohit oyj a finnish public company which develops manufactures and markets liquid handling products and diagnostic test systems,"['the', 'agreement', 'was', 'signed', 'with', 'biohit', 'healthcare', 'ltd', 'the', 'uk', 'based', 'subsidiary', 'of', 'biohit', 'oyj', 'a', 'finnish', 'public', 'company', 'which', 'develops', 'manufactures', 'and', 'markets', 'liquid', 'handling', 'products', 'and', 'diagnostic', 'test', 'systems']",31,positive
49,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,the company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached eur 141 7 million,"['the', 'company', 'also', 'estimates', 'the', 'already', 'carried', 'out', 'investments', 'to', 'lead', 'to', 'an', 'increase', 'in', 'its', 'net', 'sales', 'for', '2010', 'from', '2009', 'when', 'they', 'reached', 'eur', '141', '7', 'million']",29,positive
50,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",the company s order book stood at 1 5 bln euro 2 2 bln on september 30 2007 up by 24 2 pct on the year with international orders amounting to 365 mln euro 534 3 mln,"['the', 'company', 's', 'order', 'book', 'stood', 'at', '1', '5', 'bln', 'euro', '2', '2', 'bln', 'on', 'september', '30', '2007', 'up', 'by', '24', '2', 'pct', 'on', 'the', 'year', 'with', 'international', 'orders', 'amounting', 'to', '365', 'mln', 'euro', '534', '3', 'mln']",37,positive
51,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",the company said that paper demand increased in all of its main markets including of publication papers and that it increased average paper prices by 4 percent compared with last year,"['the', 'company', 'said', 'that', 'paper', 'demand', 'increased', 'in', 'all', 'of', 'its', 'main', 'markets', 'including', 'of', 'publication', 'papers', 'and', 'that', 'it', 'increased', 'average', 'paper', 'prices', 'by', '4', 'percent', 'compared', 'with', 'last', 'year']",31,positive
52,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",the world s second largest stainless steel maker said net profit in the three month period until dec 31 surged to euro603 million us 781 million or euro3 33 us 4 31 per share from euro172 million or euro0 94 per share the previous year,"['the', 'world', 's', 'second', 'largest', 'stainless', 'steel', 'maker', 'said', 'net', 'profit', 'in', 'the', 'three', 'month', 'period', 'until', 'dec', '31', 'surged', 'to', 'euro603', 'million', 'us', '781', 'million', 'or', 'euro3', '33', 'us', '4', '31', 'per', 'share', 'from', 'euro172', 'million', 'or', 'euro0', '94', 'per', 'share', 'the', 'previous', 'year']",45,positive
53,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",within the framework of the partnership nokia siemens networks has signed an initial framework purchase agreement with sitronics subsidiary jsc mikron which is the largest manufacturer and exporter of microelectronic components in russia,"['within', 'the', 'framework', 'of', 'the', 'partnership', 'nokia', 'siemens', 'networks', 'has', 'signed', 'an', 'initial', 'framework', 'purchase', 'agreement', 'with', 'sitronics', 'subsidiary', 'jsc', 'mikron', 'which', 'is', 'the', 'largest', 'manufacturer', 'and', 'exporter', 'of', 'microelectronic', 'components', 'in', 'russia']",33,positive
